name,street,city,state,zip,type,website,phone,source
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,8107.0,R,https://www.google.com/maps/dir/?api=1&destination=814%20White%20Horse%20Pike%2C%20Oaklyn%2C%20NJ%2008107%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,7306.0,R,https://www.google.com/maps/dir/?api=1&destination=638%20Newark%20Ave%2C%20Jersey%20City%2C%20NJ%2007306%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Got Your Six Dispensary of New Jersey,4437 NJ-27,Princeton,NJ,8540.0,R,https://www.google.com/maps/dir/?api=1&destination=4437%20NJ-27%2C%20Princeton%2C%20NJ%2008540%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,7206.0,R,https://www.google.com/maps/dir/?api=1&destination=402%20Elizabeth%20Ave%2C%20Elizabeth%2C%20NJ%2007206%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=831%20Hamilton%20St%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,8077.0,R,https://www.google.com/maps/dir/?api=1&destination=1503%20Taylors%20Ln%2C%20Cinnaminson%2C%20NJ%2008077%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Oasis Dispensary,632 White Horse Pike,Atco,NJ,8004.0,R,https://www.google.com/maps/dir/?api=1&destination=632%20White%20Horse%20Pike%2C%20Atco%2C%20NJ%2008004%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,8232.0,R,https://www.google.com/maps/dir/?api=1&destination=1110%20N%20New%20Rd%2C%20Pleasantville%2C%20NJ%2008232%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Greenstop Dispensary,516 Tonnelle Ave,Jersey City,NJ,7307.0,R,https://www.google.com/maps/dir/?api=1&destination=516%20Tonnelle%20Ave%2C%20Jersey%20City%2C%20NJ%2007307%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Gynsyng,14 S Center St,Merchantville,NJ,8109.0,R,https://www.google.com/maps/dir/?api=1&destination=14%20S%20Center%20St%2C%20Merchantville%2C%20NJ%2008109%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
