name,street,city,state,zip,website,phone,source
Unity Rd. Cannabis Shop,441 Elizabeth Ave,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Urge,941 Elizabeth Ave,Elizabeth,NJ,07201,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,1082 NJ-34,Matawan,NJ,07747,,,https://www.nj.gov/cannabis/dispensaries/find/
Village Hoboken,516 Washington St,Hoboken,NJ,07030,,,https://www.nj.gov/cannabis/dispensaries/find/
Voltaire NJ,47 Mill St,Mt Holly,NJ,08060,,,https://www.nj.gov/cannabis/dispensaries/find/
West Orange Wellness,26 S Valley Rd,West Orange,NJ,07052,,,https://www.nj.gov/cannabis/dispensaries/find/
Woodbury Wellness,818 N Broad St,Woodbury,NJ,08096,,,https://www.nj.gov/cannabis/dispensaries/find/
Xena NJ,759a Bergen Ave,Jersey City,NJ,07305,,,https://www.nj.gov/cannabis/dispensaries/find/
Zacate,"Millside Shopping Center II, 4037 US-130",Delran,NJ,08075,,,https://www.nj.gov/cannabis/dispensaries/find/
Zen Leaf Mount Holly,600 High St,Mt Holly,NJ,08060,,,https://www.nj.gov/cannabis/dispensaries/find/
Medicinal cannabis,55 S Main St,Phillipsburg,NJ,08865,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,1865 Springfield Ave,Maplewood,NJ,07040,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,200 NJ-17,Lodi,NJ,07644,,,https://www.nj.gov/cannabis/dispensaries/find/
Ascend,325 NJ-15,Wharton,NJ,07885,,,https://www.nj.gov/cannabis/dispensaries/find/
Ascend,461-469 West St,Fort Lee,NJ,07024,,,https://www.nj.gov/cannabis/dispensaries/find/
Ascend,174 NJ-17,Rochelle Park,NJ,07662,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,100 Reaville Ave,Flemington,NJ,08822,,,https://www.nj.gov/cannabis/dispensaries/find/
Ayr Wellness,950 US-1,Woodbridge,NJ,07095,,,https://www.nj.gov/cannabis/dispensaries/find/
Ayr Wellness,59 Main St,Eatontown,NJ,07724,,,https://www.nj.gov/cannabis/dispensaries/find/
Ayr Wellness,2536 US-22,Union,NJ,07083,,,https://www.nj.gov/cannabis/dispensaries/find/
BLOC,1075 Easton Ave,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
BLOC,501 US-9,Waretown,NJ,08758,,,https://www.nj.gov/cannabis/dispensaries/find/
BLOC,1761 N Olden Ave,Ewing Township,NJ,08638,,,https://www.nj.gov/cannabis/dispensaries/find/
Breakwater,2 Corporate Dr,East Windsor,NJ,08512,,,https://www.nj.gov/cannabis/dispensaries/find/
Breakwater,154 Westfield Ave W,Roselle Park,NJ,07204,,,https://www.nj.gov/cannabis/dispensaries/find/
Brute's Roots,6206 Black Horse Pike,Egg Harbor Township,NJ,08234,,,https://www.nj.gov/cannabis/dispensaries/find/
Curaleaf,191 US-130,Bordentown,NJ,08505,,,https://www.nj.gov/cannabis/dispensaries/find/
Curaleaf,4237 US-130,Edgewater Park,NJ,08010,,,https://www.nj.gov/cannabis/dispensaries/find/
Curaleaf,640 Creek Rd,Bellmawr,NJ,08031,,,https://www.nj.gov/cannabis/dispensaries/find/
Design 710,112 Park Pl,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Downtown FLWR,141 Newark Ave,Jersey City,NJ,07302,,,https://www.nj.gov/cannabis/dispensaries/find/
Eastern Green,78 NJ-73,Voorhees Township,NJ,08043,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,517 River Dr,Garfield,NJ,07026,,,https://www.nj.gov/cannabis/dispensaries/find/
Holistic Solutions,451 White Horse Pike,Atco,NJ,08004,,,https://www.nj.gov/cannabis/dispensaries/find/
HoneyGrove,1337 Blackwood-Clementon Rd,Clementon,NJ,08021,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,30 Wood Ave,Secaucus,NJ,07094,,,https://www.nj.gov/cannabis/dispensaries/find/
Monmouth Wellness & Healing (Formerly NJ Leaf),546 Park Ave,Freehold,NJ,07728,,,https://www.nj.gov/cannabis/dispensaries/find/
Monteverde NJ,45 Bridge Ave,Red Bank,NJ,07701,,,https://www.nj.gov/cannabis/dispensaries/find/
MPX NJ,153 S New York Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
MPX NJ,5035 Central Hwy,Pennsauken Township,NJ,08109,,,https://www.nj.gov/cannabis/dispensaries/find/
MPX NJ,581 Berlin - Cross Keys Rd,Sicklerville,NJ,08081,,,https://www.nj.gov/cannabis/dispensaries/find/
